"","x"
"1","S.M"
"2","S.M"
"3","NS.F"
"4","NS.F"
"5","NS.F"
"6","NS.F"
"7","S.M"
"8","S.F"
"9","NS.F"
"10","S.F"
"11","NS.M"
"12","NS.F"
"13","S.F"
"14","NS.F"
"15","S.M"
"16","NS.F"
"17","S.F"
"18","S.F"
"19","NS.F"
"20","S.M"
"21","S.F"
"22","S.F"
"23","S.F"
"24","NS.M"
"25","S.F"
"26","NS.F"
"27","NS.F"
"28","S.M"
"29","NS.F"
"30","NS.F"
"31","NS.F"
"32","NS.M"
"33","NS.F"
"34","S.F"
"35","S.F"
"36","NS.F"
"37","NS.M"
"38","S.F"
"39","S.F"
"40","S.F"
"41","NS.F"
"42","NS.M"
"43","S.F"
"44","NS.F"
"45","S.F"
"46","NS.F"
"47","S.M"
"48","S.F"
"49","NS.F"
"50","S.M"
"51","NS.F"
"52","NS.M"
"53","S.F"
"54","NS.F"
"55","NS.F"
"56","NS.F"
"57","S.F"
"58","NS.F"
"59","S.F"
"60","S.M"
"61","S.F"
"62","S.F"
"63","NS.F"
"64","S.F"
"65","NS.M"
"66","S.M"
"67","S.F"
"68","NS.M"
"69","NS.F"
"70","NS.F"
"71","NS.M"
"72","S.F"
"73","NS.F"
"74","NS.F"
"75","NS.F"
"76","NS.M"
"77","S.M"
"78","S.F"
"79","S.F"
"80","NS.M"
"81","NS.F"
"82","S.F"
"83","NS.M"
"84","S.M"
"85","S.F"
"86","NS.M"
"87","S.F"
"88","NS.F"
"89","NS.F"
"90","S.F"
"91","S.F"
"92","NS.M"
"93","S.F"
"94","S.F"
"95","NS.M"
"96","S.M"
"97","S.F"
"98","S.F"
"99","NS.F"
"100","S.F"
"101","NS.F"
"102","S.F"
